from finance.yahoo.com,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,322.04,325.16,311.31,322.2,3565200,322.2
2014-09-02,339.98,349.38,317.64,322.44,3363900,322.44
2014-08-01,313.69,346.67,304.59,339.04,3045400,339.04
2014-07-01,325.86,364.85,311.86,312.99,4755300,312.99
2014-06-02,312.59,340.72,303.84,324.78,3773800,324.78
2014-05-01,304.13,314.87,284.38,312.55,3944700,312.55
2014-04-01,338.09,348.3,288,304.13,6779300,304.13
2014-03-03,358.74,383.11,330.88,336.37,3788100,336.37
2014-02-03,358.98,365.87,337.73,362.1,4573200,362.1
2014-01-02,398.8,408.06,357.76,358.69,4626900,358.69
2013-12-02,399,405.63,379.5,398.79,2746800,398.79
2013-11-01,365.63,394.1,341.88,393.62,2830600,393.62
2013-10-01,314.22,368.4,296.5,364.03,3467900,364.03
2013-09-03,284.73,320.57,284.17,312.64,2254600,312.64
2013-08-01,303.08,306.21,279.33,280.98,2059400,280.98
2013-07-01,279,313.62,277.16,301.22,3155800,301.22
2013-06-03,268.96,283.34,262.95,277.69,3088400,277.69
2013-05-01,253.9,271.91,245.75,269.2,2837400,269.2
2013-04-01,266.98,275.8,248.56,253.81,3689300,253.81
2013-03-01,263.27,277.4,252.07,266.49,3048900,266.49
2013-02-01,268.93,274.3,255.11,264.27,3754100,264.27
2013-01-02,256.08,284.72,253.26,265.5,4333200,265.5
2012-12-03,252.54,263.11,242.75,250.87,3214500,250.87
2012-11-01,234.23,252.65,218.18,252.05,3381400,252.05
2012-10-01,255.4,261.9,222.92,232.89,4112600,232.89
2012-09-04,248.27,264.11,244.66,254.32,3475100,254.32
2012-08-01,234.14,250,228.66,248.27,2762600,248.27
2012-07-02,229.3,240.74,212.61,233.3,3847300,233.3
2012-06-01,208.44,228.35,206.37,228.35,3302800,228.35
2012-05-01,229.4,232.97,207.11,212.91,4441700,212.91
2012-04-02,198.02,233.84,183.65,231.9,6014600,231.9
2012-03-01,179.89,209.85,176.58,202.51,5336900,202.51
2012-02-01,173.81,193.57,172,179.69,7594000,179.69
2012-01-03,175.89,196.5,173.5,194.44,6165400,194.44
2011-12-01,191.85,199.66,166.97,173.1,6184500,173.1
2011-11-01,208.11,222.35,181.51,192.29,6871600,192.29
2011-10-03,217.01,246.71,196.51,213.51,7931300,213.51
2011-09-01,215.28,244,204.47,216.23,7151100,216.23
2011-08-01,225,227.45,177.1,215.23,7069500,215.23
2011-07-01,205.55,227.2,203.61,222.52,4898800,222.52
